Form	Word	Scribe	Page	Grammar	Vowel	Syllable
hērsumedon	hīersumian	Hatt3	3.06	pret.3.pl.ind.	e	mid
lufodon	lufian	Hatt3	5.06	pret.3.pl.ind.	o	mid
lufodon	lufian	Hatt3	5.07	pret.3.pl.ind.	o	mid
forhergod	hergian	Hatt3	5.09	perf.n.nom.sg.	o	final
lufodon	lufian	Hatt3	5.14	pret.3.pl.ind.	o	mid
wundrade	wundrian	Hatt3	5.19	pret.1.sg.ind.	a	mid
geliornod	leornian	Hatt3	5.2	supine	o	final
geliornodon	leornian	Hatt3	7.01	pret.3.pl.ind.	o	mid
geliornodon	leornian	Hatt3	7.03	pret.3.pl.ind.	o	mid
geliornode	leornian	Hatt3	7.2	pret.1.sg.ind.	o	mid
geliornod	leornian	Hatt3	7.23	supine	o	final
foreādihtode	dihtian	Hatt1	9.09	pret.3.sg.ind.	o	mid
leornedon	leornian	Hatt1	9.19	pret.3.pl.ind.	e	mid
gewilnad	wilnian	Hatt1	11.09	perf.f.nom.sg.	a	final
ābisgod	bisgian	Hatt1	13.16	perf.m.nom.sg.	o	final
āheardode	heardian	Hatt1	15.24	perf.m.nom.pl.	o	mid
gewilnode	wilnian	Hatt1	19.14	perf.f.acc.sg.	o	mid
gefandod	fandian	Hatt1	19.2	supine	o	final
geleornodon	leornian	Hatt1	25.13	pret.3.pl.ind.	o	mid
leornode	leornian	Hatt1	25.16	pret.3.sg.ind.	o	mid
cleopode	clipian	Hatt2	27.06	pret.3.sg.ind.	o	mid
liornode	leornian	Hatt1	27.12	pret.3.sg.ind.	o	mid
rīcsedon	rīcsian	Hatt1	27.14	pret.3.pl.ind.	e	mid
ðrēade	þrēagan	Hatt1	27.24	pret.3.sg.ind.	contracted	mid
āðīstrode	þēostrian	Hatt1	29.09	perf.n.nom.pl.	o	mid
wilnode	wilnian	Hatt1	29.11	pret.3.sg.ind.	o	mid
wītgode	wītegian	Hatt1	29.11	pret.3.sg.ind.	o	mid
leornedon	leornian	Hatt1	29.19	pret.3.pl.ind.	e	mid
geweorðade	weorðian	Hatt1	31.13	perf.m.nom.pl.	a	mid
getācnod	tācnian	Hatt1	31.19	perf.m.nom.sg.	o	final
geendod	endian	Hatt1	31.21	perf.m.nom.sg.	o	final
geendod	endian	Hatt2	31.22	perf.f.nom.sg.	o	final
geendode	endian	Hatt2	31.25	pret.3.sg.sub.	o	mid
rīcsode	rīcsian	Hatt1	33.13	pret.3.sg.ind.	o	mid
gītseden	gītsian	Hatt1	33.18	pret.1.pl.sub.	e	mid
leornedon	leornian	Hatt1	33.22	pret.1.pl.ind.	e	mid
gehālgode	hālgian	Hatt1	35.17	pret.3.sg.ind.	o	mid
geunārode	ārian	Hatt1	35.2	pret.3.sg.ind.	o	mid
līcode	līcian	Hatt1	35.21	pret.3.sg.ind.	o	mid
